PID,grantee_upper,owner_group_id,total_consideration,pid_in_bldg_panel,n_deeds_rtt,n_pids_rtt,n_pids_owner
121068900,AMAM MANAGEMENT INC,43090,8900,TRUE,51,51,54
452319000,INGOMAR LIMITED PARTNERSHIP,43184,11100,TRUE,16,16,15
022108772,MI-MC DEVELOPMENT COMPANY LLC,44063,1050000,FALSE,7,7,7
501113400,CHAMPION MORTGAGE; KEY BANK USA NATIONAL ASSOCIATION,44462,85000,FALSE,30,30,29
882421500,2211 SPRUCE PARTNERS L P,44679,1800000,FALSE,4,4,5
882027655,PHILIP F BOGATIN INC,44842,121000,FALSE,1,1,1
392149000,JC PHILADELPHIA PROPERTIES,45799,23900,TRUE,1,1,7
871538870,MORRIS-HARRISON INC,46538,21000,TRUE,27,27,23
881125205,CHOICE RENTALS LLC,46593,450000,TRUE,163,163,159
332401300,CHOICE RENTALS LLC,46593,65000,FALSE,163,163,159
453432800,CHOICE RENTALS LLC,46593,35000,FALSE,163,163,159
012524000,WINDSOR MANAGEMENT COMPANY LLC,46786,215000,TRUE,3,3,5
431177700,J PAUL INC,47098,3500,FALSE,13,12,12
431178000,J PAUL INC,47098,10000,FALSE,13,12,12
871122350,CASA VECCHIO INC,47250,160000,TRUE,1,1,1
364349600,LUCKY CONSTRUCTION INC,47889,10000,TRUE,8,8,10
601077800,TEVAH HOUSING INC,48468,88100,TRUE,12,12,12
422483400,SECRETARY OF HOUSING AN URBAN DEVELOP,48973,10000,FALSE,1,1,1
521039300,DT PROPERTY SERVICES INC,49082,13000,TRUE,47,45,45
421431600,CYNERGY LLC,51610,20500,TRUE,8,8,7
331375800,WACHOVIA BANK N A,51734,5900,TRUE,154,154,150
331243400,WACHOVIA BANK N A,51734,5500,FALSE,154,154,150
394036601,CHARTER BANK; CHARTER FEDERAL SAVINGS AND LOAN,52239,60000,FALSE,1,1,1
313175035,NVR INC; RYAN HOMES,52534,228000,FALSE,67,66,65
562313542,NVR INC; RYAN HOMES,52534,68500,FALSE,67,66,65
214159000,CHURCH SHAWN T,52673,155000,FALSE,1,1,1
281242700,LASALLE BANK NATIONAL ASSOCIATION TR,53628,4800,TRUE,136,135,130
491297600,LASALLE BANK NATIONAL ASSOCIATION TR,53628,45000,TRUE,136,135,130
452088800,NATIONAL HOUSING DEVELOPMENT CORPORATION,54165,4000,TRUE,208,206,214
031093400,AMERICAN GENERAL CONSUMER DISCOUNT COMPANY,54850,10800,TRUE,33,33,34
223152900,BANK JOHN BRADLEY; STONER DARYL E,55558,140000,FALSE,1,1,1
331139700,RALCRAM LLC,56360,16976,TRUE,71,71,69
231047300,BANK ONE FINANCIAL SERVICES INC,56788,8000,TRUE,1,1,1
262201800,BEVERLEA ENTERPRISES,58465,9350,TRUE,1,1,2
152278900,2312 PARRISH ST LLC,58495,135000,TRUE,1,1,1
482157300,DEUTSCHE BANK NATIONAL TRUST COMPANY TR,58844,20000,TRUE,1281,1252,1260
