scenario,c_source,bC_M_note,m0,bM_C,mean_m_rate_cf,zero_share_m_cf,beta_maint_on_c_rate_cf
fixed_cbar,cbar,current_expected_panel,0.167162610118016,-0.25,0.141378749634117,0,0.0030236896784625
fixed_cbar,cbar,current_expected_panel,0.167162610118016,0,0.146129017020833,0,0.00301796607854012
fixed_cbar,cbar,current_expected_panel,0.167162610118016,0.25,0.151039307851933,0,0.00301230635730176
fixed_cbar,cbar,current_expected_panel,0.167162610118016,0.5,0.156115028136272,0,0.00300671107154474
fixed_cbar,cbar,current_expected_panel,0.167162610118016,0.75,0.161361767070058,0,0.00300118078031223
fixed_cbar,cbar,current_expected_panel,0.167162610118016,1,0.166785303264555,0,0.00299571604488324
fixed_cbar,cbar,current_expected_panel,0.167162610118016,1.25,0.172391611186567,0,0.00299031742876478
fixed_cbar,cbar,current_expected_panel,0.167162610118016,1.5,0.178186867818397,0,0.00298498549768429
fixed_cbar,cbar,current_expected_panel,0.167162610118016,1.75,0.184177459545296,0,0.00297972081958347
fixed_cbar,cbar,current_expected_panel,0.167162610118016,2,0.190369989277689,0,0.00297452396461273
fixed_cbar,cbar,current_expected_panel,0.167162610118016,2.25,0.196771283816888,0,0.00296939550512541
fixed_cbar,cbar,current_expected_panel,0.167162610118016,2.5,0.203388401471848,0,0.00296433601567262
fixed_cbar,cbar,current_expected_panel,0.167162610118016,2.75,0.210228639936414,0,0.00295934607299816
fixed_cbar,cbar,current_expected_panel,0.167162610118016,3,0.217299544435002,0,0.00295442625603298
fixed_cbar,cbar,current_expected_panel,0.2,-0.5,0.163652956544895,0,0.00302947659981542
fixed_cbar,cbar,current_expected_panel,0.2,-0.25,0.169151163091204,0,0.0030236896766203
fixed_cbar,cbar,current_expected_panel,0.2,0,0.174834572058507,0,0.00301796607729598
fixed_cbar,cbar,current_expected_panel,0.2,0.25,0.180709439443778,0,0.00301230635646574
fixed_cbar,cbar,current_expected_panel,0.2,0.5,0.186782233211185,0,0.00300671107098588
fixed_cbar,cbar,current_expected_panel,0.2,0.75,0.193059640497523,0,0.00300118077994054
fixed_cbar,cbar,current_expected_panel,0.2,1,0.199548575063277,0,0.00299571604463764
fixed_cbar,cbar,current_expected_panel,0.2,1.25,0.206256184998351,0,0.00299031742860346
fixed_cbar,cbar,current_expected_panel,0.2,1.5,0.213189860690257,0,0.00298498549757904
fixed_cbar,cbar,current_expected_panel,0.2,1.75,0.220357243064394,0,0.00297972081951546
fixed_cbar,cbar,current_expected_panel,0.2,2,0.227766232105727,0,0.00297452396456906
fixed_cbar,cbar,current_expected_panel,0.2,2.25,0.235424995670917,0,0.00296939550509774
fixed_cbar,cbar,current_expected_panel,0.2,2.5,0.243341978601877,0,0.0029643360156553
fixed_cbar,cbar,current_expected_panel,0.2,2.75,0.251525912149849,0,0.00295934607298743
fixed_cbar,cbar,current_expected_panel,0.2,3,0.259985823721711,0,0.00295442625602641
fixed_cbar,cbar,current_expected_panel,0.3,-0.5,0.245479434817365,0,0.00302947659949324
fixed_cbar,cbar,current_expected_panel,0.3,-0.25,0.253726744636815,0,0.00302368967641137
fixed_cbar,cbar,current_expected_panel,0.3,0,0.262251858087753,0,0.0030179660771617
fixed_cbar,cbar,current_expected_panel,0.3,0.25,0.271064159165638,0,0.00301230635638046
