apt_id,place_id,place_name,formatted_address,rating,user_ratings_total,url,types,text_search_query
685 w walnut ln,ChIJ___DYVq4xokRTSNI5TGhA4I,Walnut Court,"685 W Walnut Ln, Philadelphia, PA 19144, USA",3,2,https://maps.google.com/?cid=9368508885532943181,establishment|point_of_interest,"685 w walnut ln, philadelphia, PA 19128 apartments"
700 cathedral rd,ChIJKZ-6Kze5xokRJx8Q2R61KUY,Andorra Point,"750 E Cathedral Rd, Philadelphia, PA 19128, USA",3.8,23,https://maps.google.com/?cid=5055771200795451175,establishment|point_of_interest|real_estate_agency,"700 cathedral rd, philadelphia, PA 19128 apartments"
268 rochelle ave,ChIJ___voom4xokRY7d0p0rIBSY,Rochelle Arms,"268 Rochelle Ave, Philadelphia, PA 19128, USA",3,2,https://maps.google.com/?cid=2739816171287394147,establishment|point_of_interest,"268 rochelle ave, philadelphia, PA 19128 apartments"
1 parker ave,ChIJXywF4s64xokRRmbJ70HZ228,The Station at Manayunk Apartments,"1 Parker Ave, Philadelphia, PA 19128, USA",4.2,73,https://maps.google.com/?cid=8060274835328689734,establishment|point_of_interest,"1 parker ave, philadelphia, PA 19128 apartments"
6157 ridge ave,ChIJ6-uSXue4xokRTm-bLzJL260,Ridgeview Apartments,"6725 Ridge Ave, Philadelphia, PA 19128, USA",4.2,64,https://maps.google.com/?cid=12527689467380330318,establishment|point_of_interest|real_estate_agency,"6157 ridge ave, philadelphia, PA 19128 apartments"
477 domino ln,ChIJxf8nCrS5xokR_qUpvk6oRDI,Domino Lane Apartments,"449 Domino Ln, Philadelphia, PA 19128, USA",3.7,10,https://maps.google.com/?cid=3622205056464037374,establishment|point_of_interest,"477 domino ln, philadelphia, PA 19128 apartments"
6619 ridge ave,ChIJ6-uSXue4xokRTm-bLzJL260,Ridgeview Apartments,"6725 Ridge Ave, Philadelphia, PA 19128, USA",4.2,64,https://maps.google.com/?cid=12527689467380330318,establishment|point_of_interest|real_estate_agency,"6619 ridge ave, philadelphia, PA 19128 apartments"
4200 mitchell st,ChIJQZTPmvK4xokRB_9ETh9SpVg,Pensdale II LP,"4200 Mitchell St, Philadelphia, PA 19128, USA",4.5,15,https://maps.google.com/?cid=6387601940905524999,establishment|point_of_interest|real_estate_agency,"4200 mitchell st, philadelphia, PA 19128 apartments"
3818 terrace st,ChIJT4JDGI64xokRbcbJoFVLKFA,Terrace Lofts,"3818 Terrace St, Philadelphia, PA 19128, USA",4.2,19,https://maps.google.com/?cid=5775949353244542573,establishment|point_of_interest,"3818 terrace st, philadelphia, PA 19128 apartments"
5938 henry ave,ChIJh0OyPyS5xokRH_tMVUJMyig,Henry on the Park,"7901 Henry Ave, Philadelphia, PA 19128, USA",3.6,448,https://maps.google.com/?cid=2939245554595330847,establishment|point_of_interest,"5938 henry ave, philadelphia, PA 19128 apartments"
6761 ridge ave,ChIJtxWo8d24xokRQjSlSCS0c0A,The Fairthorne,"6763 Ridge Ave, Philadelphia, PA 19128, USA",1,1,https://maps.google.com/?cid=4644253708679722050,establishment|point_of_interest,"6761 ridge ave, philadelphia, PA 19128 apartments"
492 roxborough ave,ChIJ6-uSXue4xokRTm-bLzJL260,Ridgeview Apartments,"6725 Ridge Ave, Philadelphia, PA 19128, USA",4.2,64,https://maps.google.com/?cid=12527689467380330318,establishment|point_of_interest|real_estate_agency,"492 roxborough ave, philadelphia, PA 19128 apartments"
4136 mitchell st,ChIJHchwbey5xokRbCBw7h4H490,The View at Manayunk,"4136 Mitchell St, Philadelphia, PA 19128, USA",4.2,54,https://maps.google.com/?cid=15988630931526131820,establishment|point_of_interest,"4136 mitchell st, philadelphia, PA 19128 apartments"
6649 ridge ave,ChIJb1QIdC65xokRWr__7T_ly-s,Lilac Pointe Apartment Homes,"6649 Ridge Ave, Philadelphia, PA 19128, USA",4.6,46,https://maps.google.com/?cid=16990926081923989338,establishment|point_of_interest,"6649 ridge ave, philadelphia, PA 19128 apartments"
5312 ridge ave,ChIJeUPJoiW5xokR5c_ljipySOA,The Ridge Apartments,"7949 Ridge Ave, Philadelphia, PA 19128, USA",3.5,55,https://maps.google.com/?cid=16161292789930643429,establishment|point_of_interest|real_estate_agency,"5312 ridge ave, philadelphia, PA 19128 apartments"
5801 ridge ave,ChIJXfh_K3e5xokRYXvA9PuS_hk,The Vault,"5801 Ridge Ave, Philadelphia, PA 19128, USA",3.9,15,https://maps.google.com/?cid=1873096105873406817,establishment|point_of_interest,"5801 ridge ave, philadelphia, PA 19128 apartments"
4163 ridge ave,ChIJT4LRBW64xokR04d50-HSBRg,The Preston at Falls Center,"3300 Henry Ave, Philadelphia, PA 19129, USA",4.1,70,https://maps.google.com/?cid=1731021499151255507,establishment|point_of_interest,"4163 ridge ave, philadelphia, PA 19129 apartments"
3026 w queen ln,ChIJgeRCdUe5xokRcrUNAQDGYME,Fallsview Gardens,"3024-3026 W Queen Ln #3026, Philadelphia, PA 19129, USA",5,1,https://maps.google.com/?cid=13934354950404289906,establishment|point_of_interest,"3026 w queen ln, philadelphia, PA 19129 apartments"
