term,estimate,std_error,t_value,p_value,sample,outcome,fe,block,conf_low,conf_high
building_type::TWIN:tc_female_c,0.00311840635424361,0.00357053548327028,0.873372178726377,0.382636304987868,pre,complaint,bg,suppression,-0.00387984319296615,0.0101166559014534
tc_black_c,-0.000155187553582615,0.000737543609758434,-0.210411359449569,0.833464683515179,full,severe,tract,suppression,-0.00160077302870915,0.00129039792154392
tc_female_c,-0.000451056404428498,0.000662099439106229,-0.681251754324669,0.496146566866156,full,severe,tract,suppression,-0.00174877130507671,0.000846658496219711
tc_black_female_c,0.0012319482544301,0.00107374030911029,1.14734283883866,0.25199558261869,full,severe,tract,suppression,-0.000872582751426068,0.00333647926028627
tc_cov_c,0.00107882301705103,0.000763301992958304,1.41336329133621,0.158405861856212,full,severe,tract,suppression,-0.00041724888914724,0.00257489492324931
tenant_comp_missing,0.000441113966248775,0.000383884008184627,1.14908138094834,0.251278989542978,full,severe,tract,suppression,-0.000311298689793095,0.00119352662229064
building_type::COMMERCIAL:tc_black_c,-0.0164436440687221,0.0175810609561696,-0.935304422737448,0.350253214921198,full,severe,tract,suppression,-0.0509025235428146,0.0180152354053704
building_type::DETACHED:tc_black_c,0.00524989652491488,0.00337680139985175,1.5546950807191,0.120890096247919,full,severe,tract,suppression,-0.00136863421879455,0.0118684272686243
building_type::HIGHRISE_MULTI:tc_black_c,0.00868799019953192,0.0742214482487169,0.117054980797712,0.906881220659382,full,severe,tract,suppression,-0.136786048367953,0.154162028767017
building_type::LOWRISE_MULTI:tc_black_c,0.0174580680998004,0.00606607235628082,2.87798546974539,0.00423906137572759,full,severe,tract,suppression,0.00556856628148997,0.0293475699181108
building_type::MIDRISE_MULTI:tc_black_c,0.00353635746952302,0.0232385995462022,0.152176014845135,0.87913265466454,full,severe,tract,suppression,-0.0420112976410333,0.0490840125800793
building_type::OTHER:tc_black_c,-0.0070007554710792,0.00495577548545863,-1.41264580924237,0.158616674508592,full,severe,tract,suppression,-0.0167140754225781,0.00271256448041972
building_type::SMALL_MULTI_2_4:tc_black_c,0.00213672493979211,0.00179319884593646,1.19157166793527,0.234207713015974,full,severe,tract,suppression,-0.00137794479824335,0.00565139467782758
building_type::TWIN:tc_black_c,0.00182805063170612,0.00205069095470957,0.891431557499126,0.373288180957465,full,severe,tract,suppression,-0.00219130363952463,0.00584740490293687
building_type::COMMERCIAL:tc_female_c,0.00874118362210814,0.00670280764645255,1.30410778336066,0.193023153464774,full,severe,tract,suppression,-0.00439631936493886,0.0218786866091551
building_type::DETACHED:tc_female_c,-0.000195835977591128,0.00277707162271692,-0.0705188789475777,0.943819507890514,full,severe,tract,suppression,-0.0056388963581163,0.00524722440293404
building_type::HIGHRISE_MULTI:tc_female_c,-0.162034888664473,0.117727199517668,-1.37635898355125,0.169558930114745,full,severe,tract,suppression,-0.392780199719103,0.0687104223901565
building_type::LOWRISE_MULTI:tc_female_c,-0.00167846920713237,0.00533697991759574,-0.314497943227882,0.753323559623176,full,severe,tract,suppression,-0.01213894984562,0.00878201143135528
building_type::MIDRISE_MULTI:tc_female_c,0.00947993338320247,0.00683120191299428,1.38774018158793,0.166067411223651,full,severe,tract,suppression,-0.00390922236626632,0.0228690891326713
building_type::OTHER:tc_female_c,0.00271257965024903,0.00477544700856606,0.568026332484327,0.570368265322352,full,severe,tract,suppression,-0.00664729648654045,0.0120724557870385
building_type::SMALL_MULTI_2_4:tc_female_c,-0.00219938508954211,0.00172021205573886,-1.27855463063676,0.201870772574831,full,severe,tract,suppression,-0.00557100071879029,0.00117223053970606
building_type::TWIN:tc_female_c,0.000232587958036709,0.00167391425659927,0.138948549556675,0.889567858736275,full,severe,tract,suppression,-0.00304828398489786,0.00351345990097127
