market_id,market_group,hhi_units_start,total_units_start,hhi_units_end,total_units_end,total_units_plot,log_hhi_units_start,log_hhi_units_end
19146__1,1,7.09818250592957,6170,6.65303091570266,6569,6569,1.95983876619715,1.89507252763046
19146__2-4,2-4,16.7081227566866,3489,15.331661066413,3879,3879,2.81589499378813,2.7299200409873
19146__5-49,5-49,148.510489436916,1744,116.060421515245,2494,2494,5.00065559168698,4.75411093062943
19146__50+,50+,1575.56059460821,630,459.487608830103,1898,1898,7.36236642101516,6.13011197479471
19147__1,1,4.63819608821641,3281,4.63327040603122,3501,3501,1.53432551655463,1.5332629699442
19147__2-4,2-4,8.06416191890718,4697,7.99604380355805,4897,4897,2.08742979035699,2.078946894807
19147__5-49,5-49,89.806042438004,2392,81.6451465802116,3465,3465,4.49765226077277,4.40238237588871
19147__50+,50+,1297.98845422927,835,976.353584520161,1032,1032,7.16857100217768,6.8838248000273
19148__1,1,2.3236294089017,5926,2.41641046112642,5991,5991,0.843130363667309,0.882283158492752
19148__2-4,2-4,11.2474937649765,2717,11.1972295706967,2777,2777,2.42014532738554,2.41566638794336
19148__5-49,5-49,579.365501115953,388,459.589361461912,498,498,6.36193354113235,6.13033339832182
19148__50+,50+,3542.1495882305,293,3542.1495882305,293,293,8.17248905015301,8.17248905015301
19149__1,1,1.56863998577505,7718,1.73618094315982,7718,7718,0.450208992849222,0.551687840737368
19149__2-4,2-4,10.5909246905991,2178,11.0546992590568,2178,2178,2.3599974731384,2.40285560987395
19149__5-49,5-49,790.3198200401,572,790.3198200401,572,572,6.67243769903109,6.67243769903109
19149__50+,50+,3407.60522959184,224,3407.60522959184,224,224,8.13376504485228,8.13376504485228
19150__1,1,13.4301727537554,1043,13.3014784220973,1043,1043,2.59750387372534,2.58787518860613
19150__2-4,2-4,19.1442848785508,1287,19.5306722113251,1287,1287,2.95200423132229,2.97198616371894
19150__5-49,5-49,679.342628831594,463,679.342628831594,463,463,6.5211256082863,6.5211256082863
19150__50+,50+,10000,65,10000,65,65,9.21034037197618,9.21034037197618
19151__1,1,8.69384337214456,2165,9.52589218567496,2165,2165,2.16261511677797,2.25401358441361
19151__2-4,2-4,19.0272389947716,1848,23.4270492716999,1856,1856,2.94587158380197,3.15389130654787
19151__5-49,5-49,2008.43087809101,1630,1386.41273664797,1630,1630,7.60510903851508,7.23447492520857
19151__50+,50+,2193.15649705443,362,2193.15649705443,362,362,7.69309710795766,7.69309710795766
19152__1,1,5.77587173708723,1919,5.79636939701232,1921,1921,1.75368919516101,1.75723175552148
19152__2-4,2-4,15.6792874605836,1514,16.2377039310774,1514,1514,2.7523405713249,2.78733594118359
19152__5-49,5-49,327.459925308819,1475,327.459925308819,1475,1475,5.79136568211879,5.79136568211879
19152__50+,50+,1054.23513712755,1134,1054.23513712755,1134,1134,6.96057079447422,6.96057079447422
19153__1,1,89.1349221242262,584,90.1318258585103,584,584,4.49015120072,4.50127333041827
19153__2-4,2-4,90.4463188625382,329,91.1854103343465,329,329,4.50475651297595,4.51289490987892
19153__5-49,5-49,1178.125,240,1198.4693877551,280,280,7.07167947063638,7.08880051141649
19153__50+,50+,2601.49255699274,954,2601.49255699274,954,954,7.86384061968177,7.86384061968177
19154__1,1,12.4609189298704,869,12.8317007896328,869,869,2.52259726103077,2.55191873333615
19154__2-4,2-4,71.0923654761821,663,73.0943264879912,663,663,4.26397995377496,4.29175075072031
19154__5-49,5-49,1678.69822485207,260,1802.95857988166,260,260,7.42577390587387,7.49718425005073
19154__50+,50+,1270.71681273029,1044,1270.71681273029,1044,1044,7.14733643970055,7.14733643970055
19193__2-4,2-4,10000,3,10000,3,3,9.21034037197618,9.21034037197618
91134__1,1,10000,1,10000,1,1,9.21034037197618,9.21034037197618
